Airline,Source,Destination,Duration,Total stops,Price,Date
"Binter Canarias, Aer Lingus",TFN,DUB,6h 30m,1 stop,€175,2023-12-11
Iberia,TFN,DUB,14h 20m,1 stop,€139,2023-12-11
"Binter Canarias, Aer Lingus",TFN,DUB,7h 30m,1 stop,€183,2023-12-11
Iberia,TFN,DUB,15h 20m,1 stop,€139,2023-12-11
"Binter Canarias, Aer Lingus",TFN,DUB,8h 30m,1 stop,€202,2023-12-11
Iberia,TFN,DUB,17h 05m,1 stop,€139,2023-12-11
"Binter Canarias, Aer Lingus",TFN,DUB,9h 30m,1 stop,€183,2023-12-11
British Airways,TFN,DUB,14h 20m,1 stop,€149,2023-12-11
British Airways,TFN,DUB,15h 20m,1 stop,€149,2023-12-11
"Air Europa, Aer Lingus",TFN,DUB,12h 45m,1 stop,€170,2023-12-11
"Air Europa, Aer Lingus",TFN,DUB,15h 00m,1 stop,€170,2023-12-11
"Binter Canarias, Aer Lingus",TFN,DUB,13h 30m,1 stop,€183,2023-12-11
"Binter Canarias, Aer Lingus",TFN,DUB,12h 00m,1 stop,€202,2023-12-11
"Binter Canarias, Aer Lingus",TFN,DUB,14h 30m,1 stop,€183,2023-12-11
"Canaryfly, Aer Lingus",TFN,DUB,12h 45m,1 stop,€235,2023-12-11
"Binter Canarias, Aer Lingus",TFN,DUB,6h 00m,1 stop,€163,2023-12-12
"Air Europa, Aer Lingus",TFN,DUB,12h 45m,1 stop,€137,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,6h 30m,1 stop,€163,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,7h 00m,1 stop,€163,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,7h 30m,1 stop,€172,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,8h 00m,1 stop,€163,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,7h 10m,1 stop,€206,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,8h 30m,1 stop,€163,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,9h 00m,1 stop,€163,2023-12-12
"Canaryfly, Aer Lingus",TFN,DUB,8h 30m,1 stop,€177,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,9h 30m,1 stop,€163,2023-12-12
"Air Europa, Aer Lingus",TFN,DUB,6h 30m,1 stop,€475,2023-12-12
"Air Europa, Aer Lingus",TFN,DUB,8h 30m,1 stop,€249,2023-12-12
Vueling,TFN,DUB,13h 00m,1 stop,€168,2023-12-12
"Binter Canarias, Aer Lingus",TFN,DUB,9h 40m,1 stop,€263,2023-12-12
Vueling,TFN,DUB,13h 25m,1 stop,€88,2023-12-13
Iberia,TFN,DUB,7h 00m,1 stop,€200,2023-12-13
British Airways,TFN,DUB,7h 00m,1 stop,€216,2023-12-13
"Vueling, Aer Lingus",TFN,DUB,11h 05m,1 stop,€108,2023-12-13
Vueling,TFN,DUB,7h 00m,1 stop,€619,2023-12-13
Iberia,TFN,DUB,11h 20m,1 stop,€200,2023-12-13
Iberia,TFN,DUB,14h 20m,1 stop,€164,2023-12-13
"Air Europa, Iberia Express",TFN,DUB,8h 25m,1 stop,€299,2023-12-13
